time,realization,lat,lon,snd_lwe
1988-02-01,0,50.09999999999997,12.299999999999995,0.022872925
1988-03-01,0,50.09999999999997,12.299999999999995,0.07130337
1988-04-01,0,50.09999999999997,12.299999999999995,0.0004787445
1988-05-01,0,50.09999999999997,12.299999999999995,-7.345365e-25
1988-06-01,0,50.09999999999997,12.299999999999995,-7.345365e-25
1988-07-01,0,50.09999999999997,12.299999999999995,-7.345365e-25
1988-08-01,0,50.09999999999997,12.299999999999995,-7.345365e-25
1988-09-01,0,50.09999999999997,12.299999999999995,-7.345365e-25
1988-10-01,0,50.09999999999997,12.299999999999995,1.335144e-05
1988-11-01,0,50.09999999999997,12.299999999999995,0.0055189133
1988-12-01,0,50.09999999999997,12.299999999999995,0.0105781555
1989-01-01,0,50.09999999999997,12.299999999999995,0.0022554398
