time,realization,lat,lon,tas
1981-01-02,0,50.09999999999997,12.299999999999995,268.3169
1981-02-02,0,50.09999999999997,12.299999999999995,270.53467
1981-03-02,0,50.09999999999997,12.299999999999995,278.46558
1981-04-02,0,50.09999999999997,12.299999999999995,279.64868
1981-05-02,0,50.09999999999997,12.299999999999995,284.91064
1981-06-02,0,50.09999999999997,12.299999999999995,287.71875
1981-07-02,0,50.09999999999997,12.299999999999995,288.43018
1981-08-02,0,50.09999999999997,12.299999999999995,288.61353
1981-09-02,0,50.09999999999997,12.299999999999995,286.3938
1981-10-02,0,50.09999999999997,12.299999999999995,280.60425
1981-11-02,0,50.09999999999997,12.299999999999995,275.75024
1981-12-02,0,50.09999999999997,12.299999999999995,268.61975
1982-01-02,0,50.09999999999997,12.299999999999995,267.98352
1982-02-02,0,50.09999999999997,12.299999999999995,270.69824
1982-03-02,0,50.09999999999997,12.299999999999995,276.04443
1982-04-02,0,50.09999999999997,12.299999999999995,277.61548
1982-05-02,0,50.09999999999997,12.299999999999995,284.5044
1982-06-02,0,50.09999999999997,12.299999999999995,288.69434
1982-07-02,0,50.09999999999997,12.299999999999995,291.15845
1982-08-02,0,50.09999999999997,12.299999999999995,289.77124
1982-09-02,0,50.09999999999997,12.299999999999995,288.86987
1982-10-02,0,50.09999999999997,12.299999999999995,281.67944
1982-11-02,0,50.09999999999997,12.299999999999995,277.28967
1982-12-02,0,50.09999999999997,12.299999999999995,273.90247
1983-01-02,0,50.09999999999997,12.299999999999995,274.58057
1983-02-02,0,50.09999999999997,12.299999999999995,268.29663
1983-03-02,0,50.09999999999997,12.299999999999995,275.9812
1983-04-02,0,50.09999999999997,12.299999999999995,280.87207
1983-05-02,0,50.09999999999997,12.299999999999995,283.88403
1983-06-02,0,50.09999999999997,12.299999999999995,288.29834
1983-07-02,0,50.09999999999997,12.299999999999995,292.70044
1983-08-02,0,50.09999999999997,12.299999999999995,290.08228
1983-09-02,0,50.09999999999997,12.299999999999995,286.10327
1983-10-02,0,50.09999999999997,12.299999999999995,280.98755
1983-11-02,0,50.09999999999997,12.299999999999995,274.7544
1983-12-02,0,50.09999999999997,12.299999999999995,271.1504
1984-01-02,0,50.09999999999997,12.299999999999995,271.61328
1984-02-02,0,50.09999999999997,12.299999999999995,269.8943
1984-03-02,0,50.09999999999997,12.299999999999995,273.30518
1984-04-02,0,50.09999999999997,12.299999999999995,278.2146
1984-05-02,0,50.09999999999997,12.299999999999995,282.92334
1984-06-02,0,50.09999999999997,12.299999999999995,285.85107
1984-07-02,0,50.09999999999997,12.299999999999995,287.57935
1984-08-02,0,50.09999999999997,12.299999999999995,289.16504
1984-09-02,0,50.09999999999997,12.299999999999995,284.36914
1984-10-02,0,50.09999999999997,12.299999999999995,282.25818
1984-11-02,0,50.09999999999997,12.299999999999995,276.29358
1984-12-02,0,50.09999999999997,12.299999999999995,272.54736
1985-01-02,0,50.09999999999997,12.299999999999995,265.63928
1985-02-02,0,50.09999999999997,12.299999999999995,266.84082
1985-03-02,0,50.09999999999997,12.299999999999995,274.78357
1985-04-02,0,50.09999999999997,12.299999999999995,279.41895
1985-05-02,0,50.09999999999997,12.299999999999995,285.7019
1985-06-02,0,50.09999999999997,12.299999999999995,285.48267
1985-07-02,0,50.09999999999997,12.299999999999995,289.84668
1985-08-02,0,50.09999999999997,12.299999999999995,289.12573
1985-09-02,0,50.09999999999997,12.299999999999995,285.73706
1985-10-02,0,50.09999999999997,12.299999999999995,280.99915
1985-11-02,0,50.09999999999997,12.299999999999995,272.4253
1985-12-02,0,50.09999999999997,12.299999999999995,274.64355
1986-01-02,0,50.09999999999997,12.299999999999995,270.73804
1986-02-02,0,50.09999999999997,12.299999999999995,264.74426
1986-03-02,0,50.09999999999997,12.299999999999995,274.9491
1986-04-02,0,50.09999999999997,12.299999999999995,279.4297
1986-05-02,0,50.09999999999997,12.299999999999995,286.9143
1986-06-02,0,50.09999999999997,12.299999999999995,287.5852
1986-07-02,0,50.09999999999997,12.299999999999995,289.0066
1986-08-02,0,50.09999999999997,12.299999999999995,289.19165
1986-09-02,0,50.09999999999997,12.299999999999995,283.7229
1986-10-02,0,50.09999999999997,12.299999999999995,281.35583
1986-11-02,0,50.09999999999997,12.299999999999995,276.71948
1986-12-02,0,50.09999999999997,12.299999999999995,272.73486
1987-01-02,0,50.09999999999997,12.299999999999995,265.33008
1987-02-02,0,50.09999999999997,12.299999999999995,270.52625
1987-03-02,0,50.09999999999997,12.299999999999995,269.27197
1987-04-02,0,50.09999999999997,12.299999999999995,280.73828
1987-05-02,0,50.09999999999997,12.299999999999995,282.0542
1987-06-02,0,50.09999999999997,12.299999999999995,286.53687
1987-07-02,0,50.09999999999997,12.299999999999995,289.26733
1987-08-02,0,50.09999999999997,12.299999999999995,287.4248
1987-09-02,0,50.09999999999997,12.299999999999995,287.10596
1987-10-02,0,50.09999999999997,12.299999999999995,281.27417
1987-11-02,0,50.09999999999997,12.299999999999995,276.31787
1987-12-02,0,50.09999999999997,12.299999999999995,273.2727
1988-01-02,0,50.09999999999997,12.299999999999995,274.28833
1988-02-02,0,50.09999999999997,12.299999999999995,272.948
1988-03-02,0,50.09999999999997,12.299999999999995,273.33032
1988-04-02,0,50.09999999999997,12.299999999999995,279.969
1988-05-02,0,50.09999999999997,12.299999999999995,286.37573
1988-06-02,0,50.09999999999997,12.299999999999995,287.15234
1988-07-02,0,50.09999999999997,12.299999999999995,289.58228
1988-08-02,0,50.09999999999997,12.299999999999995,289.74854
